WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (106.599552 -5.7397738)",1465.0,11.0,Kabupaten Kepulauan Seribu,3101.0,2.0,-5.7397738,106.599552,1.0
"POINT (106.8086017 -6.2590916)",1466.0,11.0,Kota Jakarta Selatan,3174.0,2.0,-6.2590916,106.8086017,1.0
"POINT (106.9021636 -6.2228071)",1467.0,11.0,Kota Jakarta Timur,3175.0,2.0,-6.2228071,106.9021636,1.0
"POINT (106.8290358 -6.2047177)",1468.0,11.0,Kota Jakarta Pusat,3171.0,2.0,-6.2047177,106.8290358,1.0
"POINT (106.758998 -6.163758)",1469.0,11.0,Kota Jakarta Barat,3173.0,2.0,-6.163758,106.758998,1.0
"POINT (106.9018203 -6.1439605)",1470.0,11.0,Kota Jakarta Utara,3172.0,2.0,-6.1439605,106.9018203,1.0
