WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (106.103897 -6.314835)",1537.0,16.0,Kabupaten Pandeglang,3601.0,2.0,-6.314835,106.103897,1.0
"POINT (106.2522143 -6.5643956)",1538.0,16.0,Kabupaten Lebak,3602.0,2.0,-6.5643956,106.2522143,1.0
"POINT (106.4835735 -6.1919588)",1539.0,16.0,Kabupaten Tangerang,3603.0,2.0,-6.1919588,106.4835735,1.0
"POINT (106.032013 -6.1344439)",1540.0,16.0,Kabupaten Serang,3604.0,2.0,-6.1344439,106.032013,1.0
"POINT (106.6401286 -6.1678949)",1541.0,16.0,Kota Tangerang,3671.0,2.0,-6.1678949,106.6401286,1.0
"POINT (106.040506 -6.0169825)",1542.0,16.0,Kota Cilegon,3672.0,2.0,-6.0169825,106.040506,1.0
"POINT (106.150299 -6.12009)",1543.0,16.0,Kota Serang,3673.0,2.0,-6.12009,106.150299,1.0
